"Game","Date","1","2","3","4","5","6","Additional number","some_1","Some_2"
"2728","10/10/15","5","6","16","17","20","22","7","0","0"
"2727","06/10/15","2","8","12","14","17","21","4","2","0"
"2726","03/10/15","9","17","23","28","30","36","7","0","0"
"2725","29/09/15","12","15","18","20","23","29","6","0","0"
"2724","26/09/15","5","6","8","11","20","27","7","0","0"
"2723","21/09/15","5","12","13","33","35","36","1","0","0"
"2722","19/09/15","1","8","11","23","30","35","6","0","0"
"2721","16/09/15","11","14","18","20","22","33","7","0","0"
"2720","12/09/15","6","9","15","23","24","28","4","0","0"
"2719","08/09/15","19","21","22","24","30","37","5","0","0"
"2718","05/09/15","5","6","10","15","28","29","7","0","1"
"2717","01/09/15","10","18","22","27","31","35","1","0","0"
"2716","29/08/15","5","7","8","15","19","26","3","1","0"
"2715","25/08/15","1","8","11","17","25","30","6","0","0"
"2714","22/08/15","16","17","18","20","28","35","3","0","0"
"2713","18/08/15","4","7","12","14","17","34","4","0","0"
"2712","15/08/15","3","7","14","24","27","28","2","1","0"
"2711","11/08/15","5","8","16","21","34","35","3","0","0"
"2710","08/08/15","2","6","17","29","31","35","3","1","1"
"2709","04/08/15","13","21","22","26","29","34","3","0","0"
"2708","01/08/15","5","7","9","17","19","29","3","0","0"
"2707","28/07/15","24","27","30","34","35","37","5","0","0"
"2706","26/07/15","7","9","16","23","29","30","3","0","0"
"2705","21/07/15","16","21","27","28","32","37","7","0","0"
"2704","18/07/15","2","3","11","18","25","27","5","0","0"
"2703","14/07/15","2","16","21","26","33","34","2","0","0"
"2702","11/07/15","5","15","22","23","25","29","6","0","0"
"2701","07/07/15","1","6","9","13","23","35","2","0","0"
"2700","04/07/15","2","14","22","23","25","28","5","0","0"
"2699","30/06/15","11","13","20","29","30","37","7","0","0"
"2698","27/06/15","2","6","13","16","27","33","3","0","0"
"2697","23/06/15","8","11","18","21","24","30","4","0","0"
"2696","20/06/15","3","5","7","13","17","28","4","1","0"
"2695","16/06/15","17","18","20","21","26","32","3","0","0"
"2694","13/06/15","3","4","14","18","32","35","2","0","0"
"2693","09/06/15","3","8","10","12","28","37","5","0","0"
"2692","06/06/15","4","6","8","18","27","37","4","0","0"
"2691","02/06/15","4","17","18","24","27","36","2","0","0"
"2690","30/05/15","6","8","11","23","32","35","4","0","0"
"2689","26/05/15","2","5","10","12","18","26","4","1","0"
"2688","24/05/15","4","11","18","22","29","31","4","0","0"
"2687","19/05/15","15","18","22","23","26","34","6","0","0"
"2686","16/05/15","6","8","18","22","29","37","1","1","0"
"2685","12/05/15","1","13","23","24","30","31","7","0","0"
"2684","09/05/15","5","16","22","23","24","33","1","0","0"
"2683","05/05/15","6","10","12","15","27","33","1","0","0"
"2682","02/05/15","1","3","8","12","19","30","1","1","0"
"2681","28/04/15","6","9","18","23","26","33","2","0","0"
"2680","25/04/15","1","15","17","31","32","34","2","0","0"
"2679","21/04/15","1","11","13","15","18","25","6","0","0"
"2678","18/04/15","11","12","18","24","31","33","6","1","0"
"2677","14/04/15","1","2","4","9","12","16","4","0","0"
"2676","12/04/15","2","9","11","13","29","33","3","0","0"
"2675","07/04/15","11","12","15","22","23","29","7","0","1"
"2674","04/04/15","7","32","33","34","35","36","2","0","0"
"2673","31/03/15","5","13","16","18","23","26","1","0","0"
"2672","28/03/15","5","13","21","22","25","28","1","0","0"
"2671","24/03/15","2","3","5","10","26","27","2","0","0"
"2670","21/03/15","11","15","17","27","33","37","5","0","0"
"2669","17/03/15","11","15","22","29","35","37","4","0","0"
"2668","14/03/15","14","15","18","22","23","29","1","0","0"
"2667","10/03/15","6","10","15","19","36","37","3","0","0"
"2666","07/03/15","3","14","15","19","26","33","6","0","1"
"2665","03/03/15","2","10","11","13","22","37","4","0","0"
"2664","28/02/15","11","13","22","29","31","33","1","0","0"
"2663","24/02/15","10","16","22","30","35","36","2","0","0"
"2662","21/02/15","4","14","16","22","28","33","4","0","0"
"2661","17/02/15","3","13","14","18","28","30","2","0","0"
"2660","14/02/15","8","11","13","20","22","25","5","0","0"
"2659","10/02/15","1","6","10","22","24","26","3","0","0"
"2658","07/02/15","8","12","17","21","27","30","1","0","0"
"2657","03/02/15","8","12","21","24","25","27","1","0","0"
"2656","31/01/15","1","10","16","28","29","32","5","0","0"
"2655","27/01/15","4","6","13","19","33","35","6","0","0"
"2654","24/01/15","4","11","19","28","31","34","4","0","0"
"2653","20/01/15","11","24","30","34","35","37","7","0","0"
"2652","17/01/15","1","7","11","17","36","37","2","1","1"
"2651","13/01/15","4","8","17","20","25","30","1","0","0"
"2650","10/01/15","3","8","10","15","30","33","4","0","0"
"2649","06/01/15","4","13","22","25","28","30","5","0","0"
"2648","03/01/15","9","20","22","23","29","31","2","0","0"
"2647","30/12/14","1","2","5","12","34","35","4","0","0"
"2646","27/12/14","4","5","18","20","28","36","4","0","0"
"2645","23/12/14","7","9","20","24","28","35","5","0","0"
"2644","20/12/14","6","12","25","27","30","37","5","0","0"
"2643","16/12/14","9","12","25","29","34","36","5","0","0"
"2642","13/12/14","2","9","27","29","32","36","1","0","0"
"2641","09/12/14","5","7","10","15","22","35","5","1","1"
"2640","06/12/14","3","20","28","31","33","37","5","0","0"
"2639","02/12/14","1","2","9","11","15","21","2","0","0"
"2638","29/11/14","2","10","14","17","28","34","2","1","1"
"2637","25/11/14","2","9","13","16","28","29","1","0","0"
"2636","22/11/14","4","6","10","11","14","25","7","0","0"
"2635","18/11/14","1","3","29","30","33","35","2","0","0"
"2634","15/11/14","4","8","9","23","25","31","4","0","1"
"2633","11/11/14","3","11","18","25","33","36","7","1","1"
"2632","08/11/14","7","16","18","21","23","36","6","0","0"
"2631","04/11/14","2","19","28","29","34","36","6","0","0"
"2630","01/11/14","1","2","5","15","27","31","4","0","0"
"2629","28/10/14","12","15","20","30","33","37","3","0","0"
"2628","25/10/14","2","5","6","10","19","29","5","2","0"
"2627","21/10/14","5","7","9","11","24","29","1","0","0"
"2626","18/10/14","9","10","11","12","21","32","5","0","0"
"2625","14/10/14","5","10","17","23","32","36","6","0","0"
"2624","11/10/14","2","6","11","16","27","34","3","0","0"
"2623","07/10/14","8","10","15","23","26","34","1","0","0"
"2622","05/10/14","1","9","10","21","26","37","3","0","0"
"2621","30/09/14","8","13","17","18","34","36","1","0","0"
"2620","28/09/14","13","17","19","26","30","36","5","0","0"
"2619","23/09/14","7","9","10","34","35","36","7","0","0"
"2618","20/09/14","7","19","20","25","31","34","3","0","0"
"2617","16/09/14","3","8","11","19","26","35","2","0","0"
"2616","13/09/14","1","4","12","18","31","37","3","1","0"
"2615","09/09/14","2","12","14","27","29","32","5","0","0"
"2614","06/09/14","3","15","24","25","26","35","2","0","0"
"2613","02/09/14","6","10","18","27","35","36","6","0","0"
